"DOR Code","Municipality","Fiscal Year","Total Outstanding Debt (Schedule A Part 10)","Equalized Values (EQV)","Outstanding Debt as a % of EQV","Population","Outstanding Debt Per Capita","GF Debt Service (Schedule A Part 2)","Total Budget","Debt Service as a % of Budget"
"089","Edgartown","2021","10,252,387","8,635,274,400","0.12%","4,343","2,361","1,759,838","43,820,087","4.02%"
"089","Edgartown","2022","8,565,636","10,127,877,000","0.08%","4,348","1,970","1,741,614","47,051,128","3.70%"
"089","Edgartown","2023","9,818,395","10,127,877,000","0.10%","5,168","1,900","631,916","48,957,977","1.29%"
"089","Edgartown","2024","10,650,643","11,072,643,200","0.10%","5,302","2,009","766,423","53,528,465","1.43%"
"089","Edgartown","2025","9,637,360","11,072,643,200","0.09%","5,266","1,830","954,932","57,834,236","1.65%"
"090","Egremont","2021","253,333","447,001,500","0.06%","1,208","210","114,702","5,141,046","2.23%"
"090","Egremont","2022","66,666","461,457,900","0.01%","1,205","55","146,283","5,669,684","2.58%"
"090","Egremont","2023","468,000","461,457,900","0.10%","1,372","341","264,959","6,361,361","4.17%"
"090","Egremont","2024","351,000","616,396,400","0.06%","1,371","256","312,092","6,346,348","4.92%"
"090","Egremont","2025","519,000","616,396,400","0.08%","1,374","378","247,517","7,093,812","3.49%"
"091","Erving","2021","2,028,296","895,171,300","0.23%","1,774","1,143","0","13,604,547","0.00%"
"091","Erving","2022","3,351,545","956,478,200","0.35%","1,750","1,915","0","13,197,598","0.00%"
"091","Erving","2023","3,062,052","956,478,200","0.32%","1,665","1,839","0","14,514,272","0.00%"
"091","Erving","2024","2,767,721","969,923,800","0.29%","1,667","1,660","0","15,057,287","0.00%"
"091","Erving","2025","2,463,454","969,923,800","0.25%","1,667","1,478","0","15,946,385","0.00%"
"092","Essex","2021","17,476,887","867,344,300","2.01%","3,789","4,613","696,655","18,403,742","3.79%"
"092","Essex","2022","15,593,934","944,642,600","1.65%","3,799","4,105","796,305","19,420,796","4.10%"
"092","Essex","2023","13,690,981","944,642,600","1.45%","3,675","3,725","777,305","21,342,473","3.64%"
"092","Essex","2024","12,082,980","1,081,249,700","1.12%","3,668","3,294","755,997","21,859,228","3.46%"
"092","Essex","2025","12,820,813","1,081,249,700","1.19%","3,668","3,495","2,151,150","21,856,354","9.84%"
"093","Everett","2021","94,008,673","5,767,100,400","1.63%","46,880","2,005","11,451,630","221,609,617","5.17%"
"093","Everett","2022","109,011,540","7,029,819,300","1.55%","46,451","2,347","12,351,970","240,853,280","5.13%"
"093","Everett","2023","97,672,570","7,029,819,300","1.39%","49,075","1,990","13,171,033","266,970,115","4.93%"
"093","Everett","2024","93,330,474","9,500,450,600","0.98%","48,557","1,922","11,924,719","300,130,378","3.97%"
"093","Everett","2025","84,713,812","9,500,450,600","0.89%","49,350","1,717","11,027,999","314,308,223","3.51%"
"094","Fairhaven","2021","16,533,297","2,181,956,700","0.76%","16,094","1,027","1,104,528","53,993,124","2.05%"
"094","Fairhaven","2022","15,121,707","2,482,405,500","0.61%","16,078","941","985,002","55,232,999","1.78%"
"094","Fairhaven","2023","18,223,324","2,482,405,500","0.73%","15,924","1,144","989,078","59,279,532","1.67%"
"094","Fairhaven","2024","16,528,829","2,882,044,000","0.57%","15,909","1,039","1,131,556","63,717,994","1.78%"
"094","Fairhaven","2025","14,822,842","2,882,044,000","0.51%","15,837","936","1,102,164","65,451,831","1.68%"
"095","Fall River","2021","358,372,343","5,571,429,500","6.43%","89,661","3,997","12,424,348","309,849,509","4.01%"
"095","Fall River","2022","333,404,901","6,253,556,700","5.33%","89,541","3,723","13,542,539","330,164,836","4.10%"
"095","Fall River","2023","335,676,758","6,253,556,700","5.37%","94,000","3,571","13,474,291","355,816,512","3.79%"
"095","Fall River","2024","330,915,061","7,843,860,400","4.22%","93,884","3,525","14,471,570","388,454,399","3.73%"
"095","Fall River","2025","372,323,183","7,843,860,400","4.75%","93,682","3,974","14,645,927","422,808,447","3.46%"
"096","Falmouth","2021","134,718,064","12,342,275,400","1.09%","31,019","4,343","15,656,286","145,606,667","10.75%"
"096","Falmouth","2022","121,214,095","13,186,717,700","0.92%","30,993","3,911","14,955,261","174,217,684","8.58%"
"096","Falmouth","2023","110,076,419","13,186,717,700","0.83%","32,517","3,385","14,440,230","170,480,993","8.47%"
"096","Falmouth","2024","111,473,944","15,449,979,300","0.72%","33,128","3,365","13,422,320","182,556,335","7.35%"
"096","Falmouth","2025","101,352,840","15,449,979,300","0.66%","33,104","3,062","13,391,765","207,463,037","6.46%"
"097","Fitchburg","2021","89,752,873","2,522,862,600","3.56%","40,882","2,195","2,052,412","145,364,513","1.41%"
"097","Fitchburg","2022","82,626,284","3,008,407,300","2.75%","40,638","2,033","2,359,085","148,710,782","1.59%"
"097","Fitchburg","2023","104,777,968","3,008,407,300","3.48%","41,946","2,498","2,310,394","166,374,871","1.39%"
"097","Fitchburg","2024","99,250,393","3,678,508,500","2.70%","41,732","2,378","3,420,035","174,328,646","1.96%"
"097","Fitchburg","2025","122,970,109","3,678,508,500","3.34%","41,502","2,963","3,405,169","188,333,978","1.81%"
"098","Florida","2021","0","123,293,200","0.00%","724","0","0","4,259,245","0.00%"
"098","Florida","2022","0","182,043,400","0.00%","715","0","0","4,414,067","0.00%"
"098","Florida","2023","0","182,043,400","0.00%","694","0","0","4,468,861","0.00%"
"098","Florida","2024","0","185,906,300","0.00%","685","0","0","5,160,796","0.00%"
"098","Florida","2025","","185,906,300","","681","","","4,747,443",""
"099","Foxborough","2021","68,402,725","3,309,738,100","2.07%","17,671","3,871","3,688,743","78,788,225","4.68%"
"099","Foxborough","2022","63,762,371","3,632,254,300","1.76%","18,399","3,466","3,607,940","82,498,642","4.37%"
"099","Foxborough","2023","59,152,510","3,632,254,300","1.63%","18,618","3,177","3,466,895","85,594,113","4.05%"
"099","Foxborough","2024","54,803,053","3,825,226,800","1.43%","18,519","2,959","3,385,923","91,279,879","3.71%"
"099","Foxborough","2025","69,466,206","3,825,226,800","1.82%","18,488","3,757","3,229,630","96,894,926","3.33%"
"100","Framingham","2021","251,866,469","9,773,587,600","2.58%","73,123","3,444","13,241,707","302,263,887","4.38%"
"100","Framingham","2022","254,707,661","11,101,738,800","2.29%","74,416","3,423","13,726,985","304,772,452","4.50%"
"100","Framingham","2023","257,504,618","11,101,738,800","2.32%","72,362","3,559","14,145,001","322,758,646","4.38%"
"100","Framingham","2024","232,594,459","12,640,216,800","1.84%","71,265","3,264","16,155,889","344,245,230","4.69%"
"100","Framingham","2025","276,821,131","12,640,216,800","2.19%","70,963","3,901","15,305,347","362,324,270","4.22%"
"101","Franklin","2021","84,067,257","5,401,593,400","1.56%","33,230","2,530","6,661,740","129,515,855","5.14%"
"101","Franklin","2022","81,873,376","6,057,291,000","1.35%","34,087","2,402","6,787,769","134,990,155","5.03%"
"101","Franklin","2023","78,513,427","6,057,291,000","1.30%","33,261","2,361","6,665,860","140,188,465","4.76%"
"101","Franklin","2024","71,453,251","6,739,455,100","1.06%","33,036","2,163","6,170,253","145,613,998","4.24%"
"101","Franklin","2025","66,664,225","6,739,455,100","0.99%","33,656","1,981","5,914,648","151,988,136","3.89%"
"102","Freetown","2021","5,940,000","1,416,388,700","0.42%","9,395","632","808,480","31,232,756","2.59%"
"102","Freetown","2022","4,780,000","1,612,258,700","0.30%","9,394","509","1,282,200","31,004,014","4.14%"
"102","Freetown","2023","3,610,000","1,612,258,700","0.22%","9,206","392","1,267,650","36,465,949","3.48%"
"102","Freetown","2024","2,500,000","1,813,071,700","0.14%","9,202","272","1,183,600","37,272,173","3.18%"
"102","Freetown","2025","2,000,000","1,813,071,700","0.11%","9,236","217","556,250","37,218,803","1.50%"
"103","Gardner","2021","27,262,406","1,296,897,500","2.10%","20,719","1,316","1,030,259","64,324,429","1.60%"
"103","Gardner","2022","77,255,283","1,481,985,500","5.21%","20,683","3,735","1,559,857","66,604,580","2.34%"
"103","Gardner","2023","73,679,601","1,481,985,500","4.97%","21,287","3,461","3,578,770","70,469,492","5.08%"
"103","Gardner","2024","70,095,248","1,722,018,500","4.07%","21,191","3,308","4,238,402","76,226,045","5.56%"
"103","Gardner","2025","66,476,874","1,722,018,500","3.86%","20,902","3,180","4,694,823","78,752,587","5.96%"
"104","Aquinnah","2021","0","793,211,500","0.00%","327","0","88,855","5,705,651","1.56%"
"104","Aquinnah","2022","0","810,687,000","0.00%","320","0","82,501","6,195,130","1.33%"
"104","Aquinnah","2023","0","810,687,000","0.00%","439","0","81,845","6,336,167","1.29%"
"104","Aquinnah","2024","0","860,784,100","0.00%","450","0","93,332","7,145,156","1.31%"
"104","Aquinnah","2025","0","860,784,100","0.00%","444","0","89,920","7,992,296","1.13%"
"105","Georgetown","2021","27,220,000","1,323,463,100","2.06%","8,773","3,103","2,832,973","33,390,662","8.48%"
"105","Georgetown","2022","23,350,000","1,425,622,900","1.64%","8,768","2,663","2,687,852","33,823,263","7.95%"
"105","Georgetown","2023","21,570,000","1,425,622,900","1.51%","8,470","2,547","2,446,282","35,669,491","6.86%"
"105","Georgetown","2024","19,860,000","1,648,088,700","1.21%","8,416","2,360","2,244,968","36,833,178","6.10%"
"105","Georgetown","2025","18,145,000","1,648,088,700","1.10%","8,408","2,158","2,180,570","37,592,529","5.80%"
"106","Gill","2021","104,879","160,146,100","0.07%","1,489","70","35,967","3,784,249","0.95%"
"106","Gill","2022","69,776","173,933,200","0.04%","1,465","48","35,103","4,187,280","0.84%"
"106","Gill","2023","213,784","173,933,200","0.12%","1,551","138","10,466","4,257,194","0.25%"
"106","Gill","2024","150,520","183,855,300","0.08%","1,536","98","63,264","4,242,833","1.49%"
"106","Gill","2025","","183,855,300","","1,560","","11,466","4,461,397","0.26%"
"107","Gloucester","2021","134,607,224","6,746,082,000","2.00%","30,401","4,428","12,004,239","121,249,797","9.90%"
"107","Gloucester","2022","149,357,167","7,571,872,500","1.97%","30,430","4,908","10,542,716","124,411,515","8.47%"
"107","Gloucester","2023","147,490,158","7,571,872,500","1.95%","29,729","4,961","11,767,770","133,922,672","8.79%"
"107","Gloucester","2024","149,018,849","8,654,554,400","1.72%","29,952","4,975","12,572,358","138,306,097","9.09%"
"107","Gloucester","2025","185,510,694","8,654,554,400","2.14%","29,836","6,218","13,169,452","146,993,460","8.96%"
"108","Goshen","2021","675,559","154,513,800","0.44%","1,064","635","106,228","3,473,771","3.06%"
"108","Goshen","2022","645,783","173,818,900","0.37%","1,059","610","102,960","3,667,519","2.81%"
"108","Goshen","2023","594,740","173,818,900","0.34%","960","620","90,684","3,855,531","2.35%"
"108","Goshen","2024","543,147","175,826,700","0.31%","950","572","194,507","4,884,765","3.98%"
"108","Goshen","2025","490,991","175,826,700","0.28%","947","518","209,786","4,331,565","4.84%"
"109","Gosnold","2021","0","232,178,900","0.00%","75","0","39,960","1,703,102","2.35%"
"109","Gosnold","2022","0","229,578,500","0.00%","75","0","130,442","1,651,498","7.90%"
"109","Gosnold","2023","1,648,000","229,578,500","0.72%","70","23,543","1,596","1,736,061","0.09%"
"109","Gosnold","2024","1,622,192","238,470,900","0.68%","70","23,174","17,993","1,542,837","1.17%"
"109","Gosnold","2025","","238,470,900","","64","","","1,944,632",""
"110","Grafton","2021","84,522,045","2,596,289,300","3.26%","18,885","4,476","6,128,548","70,593,426","8.68%"
"110","Grafton","2022","80,399,743","2,853,771,800","2.82%","18,883","4,258","5,767,521","74,957,137","7.69%"
"110","Grafton","2023","76,130,811","2,853,771,800","2.67%","19,664","3,872","5,881,844","77,393,575","7.60%"
"110","Grafton","2024","71,446,957","3,144,522,000","2.27%","19,756","3,616","6,090,883","79,778,528","7.64%"
"110","Grafton","2025","66,801,023","3,144,522,000","2.12%","19,815","3,371","6,049,275","86,602,715","6.99%"
"111","Granby","2021","13,357,000","650,048,400","2.05%","6,347","2,104","966,837","21,645,153","4.47%"
"111","Granby","2022","12,739,600","698,314,800","1.82%","6,291","2,025","1,022,869","23,690,856","4.32%"
"111","Granby","2023","12,102,200","698,314,800","1.73%","6,110","1,981","1,017,771","25,846,777","3.94%"
"111","Granby","2024","12,184,375","766,960,200","1.59%","6,061","2,010","1,017,073","27,275,275","3.73%"
"111","Granby","2025","11,634,060","766,960,200","1.52%","6,055","1,921","1,095,404","26,938,928","4.07%"
"112","Granville","2021","2,139,680","203,242,200","1.05%","1,624","1,318","216,291","4,182,584","5.17%"
"112","Granville","2022","1,867,460","210,428,400","0.89%","1,611","1,159","394,165","4,530,227","8.70%"
"112","Granville","2023","1,550,240","210,428,400","0.74%","1,538","1,008","372,302","4,770,371","7.80%"
"112","Granville","2024","1,233,020","236,031,700","0.52%","1,533","804","363,647","5,192,637","7.00%"
"112","Granville","2025","1,215,800","236,031,700","0.52%","1,528","796","354,992","5,638,884","6.30%"
"113","Great Barrington","2021","18,980,880","1,480,946,600","1.28%","6,852","2,770","1,791,799","30,897,563","5.80%"
"113","Great Barrington","2022","19,673,732","1,600,428,300","1.23%","6,945","2,833","2,044,028","33,179,674","6.16%"
"113","Great Barrington","2023","17,274,539","1,600,428,300","1.08%","7,172","2,409","2,283,317","34,683,164","6.58%"
"113","Great Barrington","2024","26,126,670","1,741,152,600","1.50%","7,164","3,647","2,091,939","38,737,968","5.40%"
"113","Great Barrington","2025","31,676,467","1,741,152,600","1.82%","7,214","4,391","3,002,849","39,220,937","7.66%"
"114","Greenfield","2021","39,879,623","1,502,607,800","2.65%","17,460","2,284","3,784,134","61,370,598","6.17%"
"114","Greenfield","2022","55,946,369","1,635,101,600","3.42%","17,258","3,242","3,613,800","66,790,908","5.41%"
"114","Greenfield","2023","52,433,115","1,635,101,600","3.21%","17,768","2,951","4,304,073","70,515,780","6.10%"
"114","Greenfield","2024","65,939,861","1,751,876,500","3.76%","17,652","3,736","5,243,089","70,128,892","7.48%"
"114","Greenfield","2025","","1,751,876,500","","17,656","","5,181,287","74,148,263","6.99%"
"115","Groton","2021","21,442,612","1,781,386,100","1.20%","11,386","1,883","1,762,179","41,464,563","4.25%"
"115","Groton","2022","45,533,709","2,033,204,400","2.24%","11,325","4,021","1,907,807","44,718,806","4.27%"
"115","Groton","2023","42,850,266","2,033,204,400","2.11%","11,315","3,787","3,614,162","48,542,464","7.45%"
"115","Groton","2024","51,482,597","2,199,159,100","2.34%","11,147","4,619","4,562,177","52,204,544","8.74%"
"115","Groton","2025","48,657,069","2,199,159,100","2.21%","11,162","4,359","4,684,911","53,781,797","8.71%"
"116","Groveland","2021","6,180,000","976,713,800","0.63%","6,850","902","376,379","20,238,207","1.86%"
"116","Groveland","2022","5,705,000","1,116,385,500","0.51%","6,849","833","387,212","21,244,068","1.82%"
"116","Groveland","2023","5,260,000","1,116,385,500","0.47%","6,752","779","379,892","21,976,268","1.73%"
"116","Groveland","2024","4,815,000","1,255,397,100","0.38%","6,737","715","370,582","23,834,839","1.56%"
"116","Groveland","2025","4,355,000","1,255,397,100","0.35%","6,721","648","299,363","24,278,605","1.23%"
"117","Hadley","2021","18,645,791","1,040,640,500","1.79%","5,346","3,488","1,310,508","19,569,123","6.70%"
"117","Hadley","2022","17,930,594","1,106,994,300","1.62%","5,342","3,357","1,368,137","20,970,929","6.52%"
"117","Hadley","2023","17,109,104","1,106,994,300","1.55%","5,325","3,213","1,415,854","21,667,157","6.54%"
"117","Hadley","2024","16,251,196","1,161,298,900","1.40%","5,272","3,083","2,006,973","23,415,737","8.57%"
"117","Hadley","2025","15,341,738","1,161,298,900","1.32%","5,270","2,911","1,778,712","24,734,727","7.19%"
"118","Halifax","2021","5,325,000","953,128,900","0.56%","7,890","675","443,881","25,416,496","1.75%"
"118","Halifax","2022","4,910,000","1,059,770,900","0.46%","7,896","622","627,607","26,701,573","2.35%"
"118","Halifax","2023","4,500,000","1,059,770,900","0.42%","7,749","581","575,256","29,998,630","1.92%"
"118","Halifax","2024","4,180,000","1,210,894,200","0.35%","7,749","539","469,900","28,742,350","1.64%"
"118","Halifax","2025","","1,210,894,200","","7,698","","458,400","28,992,574","1.58%"
"119","Hamilton","2021","12,235,000","1,613,578,500","0.76%","8,098","1,511","652,628","34,698,735","1.88%"
"119","Hamilton","2022","11,115,000","1,756,199,200","0.63%","8,051","1,381","638,675","35,449,576","1.80%"
"119","Hamilton","2023","10,030,000","1,756,199,200","0.57%","7,561","1,327","581,122","36,509,966","1.59%"
"119","Hamilton","2024","15,590,000","1,912,849,100","0.82%","7,539","2,068","578,318","41,485,809","1.39%"
"119","Hamilton","2025","14,115,000","1,912,849,100","0.74%","7,526","1,875","577,153","42,743,647","1.35%"
"120","Hampden","2021","2,525,000","638,652,000","0.40%","5,220","484","426,015","15,237,949","2.80%"
"120","Hampden","2022","2,375,000","662,234,900","0.36%","5,177","459","599,803","16,159,571","3.71%"
"120","Hampden","2023","2,225,000","662,234,900","0.34%","4,966","448","219,750","15,939,562","1.38%"
"120","Hampden","2024","2,075,000","758,719,700","0.27%","4,935","420","215,250","16,745,024","1.29%"
"120","Hampden","2025","1,925,000","758,719,700","0.25%","4,915","392","213,750","17,397,805","1.23%"
"121","Hancock","2021","0","327,036,000","0.00%","701","0","0","2,430,089","0.00%"
"121","Hancock","2022","0","322,918,000","0.00%","696","0","0","2,594,209","0.00%"
"121","Hancock","2023","0","322,918,000","0.00%","757","0","0","2,674,520","0.00%"
"121","Hancock","2024","0","338,870,100","0.00%","751","0","0","2,852,410","0.00%"
"121","Hancock","2025","0","338,870,100","0.00%","746","0","0","2,901,538","0.00%"
"122","Hanover","2021","46,510,800","2,802,906,000","1.66%","14,517","3,204","5,628,290","66,031,394","8.52%"
"122","Hanover","2022","42,321,100","3,073,778,500","1.38%","14,570","2,905","4,579,323","67,576,867","6.78%"
"122","Hanover","2023","38,466,400","3,073,778,500","1.25%","14,833","2,593","4,291,835","71,104,382","6.04%"
"122","Hanover","2024","34,541,700","3,333,802,700","1.04%","14,871","2,323","4,257,376","74,052,642","5.75%"
"122","Hanover","2025","30,897,000","3,333,802,700","0.93%","14,758","2,094","4,184,493","75,671,418","5.53%"
"123","Hanson","2021","5,205,000","1,373,623,000","0.38%","10,874","479","486,845","30,656,573","1.59%"
"123","Hanson","2022","4,340,000","1,526,710,200","0.28%","10,914","398","462,813","33,454,223","1.38%"
"123","Hanson","2023","3,495,494","1,526,710,200","0.23%","10,639","329","794,526","35,055,403","2.27%"
"123","Hanson","2024","2,715,836","1,705,096,200","0.16%","10,674","254","547,698","36,868,903","1.49%"
"123","Hanson","2025","2,150,000","1,705,096,200","0.13%","10,587","203","556,713","37,409,844","1.49%"
"124","Hardwick","2021","1,312,445","247,900,500","0.53%","3,056","429","47,188","5,703,919","0.83%"
"124","Hardwick","2022","1,280,186","270,761,600","0.47%","3,057","419","51,486","6,193,806","0.83%"
"124","Hardwick","2023","1,246,931","270,761,600","0.46%","2,667","468","57,794","6,452,945","0.90%"
"124","Hardwick","2024","1,212,637","290,003,700","0.42%","2,660","456","48,141","6,581,376","0.73%"
"124","Hardwick","2025","1,177,261","290,003,700","0.41%","2,658","443","57,121","6,857,306","0.83%"
"125","Harvard","2021","38,558,223","1,289,986,700","2.99%","6,610","5,833","3,814,961","34,428,302","11.08%"
"125","Harvard","2022","41,124,730","1,320,082,000","3.12%","6,620","6,212","3,593,417","33,879,965","10.61%"
"125","Harvard","2023","38,548,587","1,320,082,000","2.92%","6,851","5,627","3,989,882","36,550,310","10.92%"
"125","Harvard","2024","35,974,737","1,434,003,000","2.51%","6,844","5,256","3,893,155","37,530,666","10.37%"
"125","Harvard","2025","33,408,118","1,434,003,000","2.33%","6,870","4,863","3,784,002","37,901,431","9.98%"
"126","Harwich","2021","27,382,524","5,697,974,900","0.48%","12,133","2,257","5,871,698","68,660,369","8.55%"
"126","Harwich","2022","29,231,936","6,396,397,000","0.46%","12,142","2,408","3,927,809","77,241,303","5.09%"
"126","Harwich","2023","41,881,840","6,396,397,000","0.65%","13,440","3,116","3,116,628","74,485,155","4.18%"
"126","Harwich","2024","45,417,714","7,143,004,400","0.64%","13,629","3,332","2,541,800","81,819,406","3.11%"
"126","Harwich","2025","42,200,710","7,143,004,400","0.59%","13,647","3,092","3,586,291","82,812,614","4.33%"
"127","Hatfield","2021","1,106,436","563,178,100","0.20%","3,284","337","257,128","12,736,531","2.02%"
"127","Hatfield","2022","959,797","610,123,900","0.16%","3,251","295","209,119","12,669,295","1.65%"
"127","Hatfield","2023","5,405,758","610,123,900","0.89%","3,352","1,613","148,760","13,592,549","1.09%"
"127","Hatfield","2024","4,921,718","664,037,600","0.74%","3,314","1,485","231,129","14,610,893","1.58%"
"127","Hatfield","2025","4,592,679","664,037,600","0.69%","3,314","1,386","211,262","14,685,284","1.44%"
"128","Haverhill","2021","132,263,059","6,609,657,600","2.00%","64,041","2,065","7,706,802","208,665,335","3.69%"
"128","Haverhill","2022","128,227,940","7,590,825,800","1.69%","64,014","2,003","9,385,745","216,453,833","4.34%"
"128","Haverhill","2023","126,301,500","7,590,825,800","1.66%","67,787","1,863","6,420,019","233,386,746","2.75%"
"128","Haverhill","2024","126,407,666","8,774,764,300","1.44%","67,361","1,877","5,179,894","249,097,324","2.08%"
"128","Haverhill","2025","174,963,846","8,774,764,300","1.99%","67,153","2,605","5,650,167","261,654,391","2.16%"
"129","Hawley","2021","0","49,044,100","0.00%","336","0","751,390","1,232,292","60.98%"
"129","Hawley","2022","0","51,879,800","0.00%","334","0","0","1,172,450","0.00%"
"129","Hawley","2023","0","51,879,800","0.00%","353","0","0","1,317,136","0.00%"
"129","Hawley","2024","0","52,571,500","0.00%","350","0","0","1,463,395","0.00%"
"129","Hawley","2025","","52,571,500","","354","","0","1,350,720","0.00%"
"130","Heath","2021","1,597,370","93,228,900","1.71%","702","2,275","72,573","2,658,684","2.73%"
"130","Heath","2022","101,187","96,423,600","0.10%","695","146","87,132","2,534,531","3.44%"
"130","Heath","2023","43,999","96,423,600","0.05%","723","61","134,306","2,871,259","4.68%"
"130","Heath","2024","21,999","105,196,700","0.02%","726","30","173,564","2,707,287","6.41%"
"130","Heath","2025","0","105,196,700","0.00%","721","0","185,939","3,110,189","5.98%"
"131","Hingham","2021","153,182,433","7,407,974,100","2.07%","23,923","6,403","7,918,163","118,195,412","6.70%"
"131","Hingham","2022","146,840,657","7,942,260,800","1.85%","24,679","5,950","5,557,840","123,880,947","4.49%"
"131","Hingham","2023","140,363,441","7,942,260,800","1.77%","24,284","5,780","5,372,579","129,111,028","4.16%"
"131","Hingham","2024","187,580,777","8,672,525,700","2.16%","24,311","7,716","8,599,792","145,037,971","5.93%"
"131","Hingham","2025","247,547,655","8,672,525,700","2.85%","24,130","10,259","10,933,506","150,333,117","7.27%"
"132","Hinsdale","2021","2,359,218","316,994,600","0.74%","1,922","1,227","18,176","6,388,170","0.29%"
"132","Hinsdale","2022","2,128,819","323,523,800","0.66%","1,911","1,114","18,176","6,440,254","0.28%"
"132","Hinsdale","2023","1,955,549","323,523,800","0.60%","1,919","1,019","18,533","6,838,498","0.27%"
"132","Hinsdale","2024","1,775,009","363,382,200","0.49%","1,908","930","18,176","7,348,332","0.25%"
"132","Hinsdale","2025","1,586,722","363,382,200","0.44%","1,900","835","18,176","7,131,314","0.26%"
"133","Holbrook","2021","43,438,380","1,276,774,300","3.40%","11,048","3,932","4,412,842","44,452,833","9.93%"
"133","Holbrook","2022","39,534,497","1,455,967,400","2.72%","11,033","3,583","4,366,483","44,627,426","9.78%"
"133","Holbrook","2023","39,618,927","1,455,967,400","2.72%","11,405","3,474","3,811,569","51,038,426","7.47%"
"133","Holbrook","2024","36,420,833","1,670,268,000","2.18%","11,335","3,213","3,260,869","49,648,037","6.57%"
"133","Holbrook","2025","34,821,519","1,670,268,000","2.08%","11,285","3,086","3,183,447","53,361,044","5.97%"
"134","Holden","2021","45,928,342","2,377,246,900","1.93%","19,163","2,397","2,848,022","56,591,758","5.03%"
"134","Holden","2022","53,606,319","2,669,892,800","2.01%","19,303","2,777","3,279,969","57,438,092","5.71%"
"134","Holden","2023","58,151,398","2,669,892,800","2.18%","19,905","2,921","3,518,974","59,708,448","5.89%"
"134","Holden","2024","53,633,090","2,958,213,400","1.81%","19,898","2,695","3,981,782","64,334,918","6.19%"
"134","Holden","2025","56,767,681","2,958,213,400","1.92%","19,880","2,856","4,144,578","67,197,179","6.17%"
"135","Holland","2021","0","332,392,700","0.00%","2,497","0","37,523","8,181,018","0.46%"
"135","Holland","2022","0","368,404,300","0.00%","2,482","0","64,874","8,265,714","0.79%"
"135","Holland","2023","0","368,404,300","0.00%","2,603","0","82,481","8,725,885","0.95%"
"135","Holland","2024","0","412,648,100","0.00%","2,583","0","179,492","9,604,873","1.87%"
"135","Holland","2025","0","412,648,100","0.00%","2,573","0","72,310","9,420,170","0.77%"
"136","Holliston","2021","10,584,296","2,669,635,100","0.40%","14,939","709","3,010,553","71,930,149","4.19%"
"136","Holliston","2022","13,119,244","2,882,048,100","0.46%","14,912","880","2,398,637","73,786,385","3.25%"
"136","Holliston","2023","11,841,691","2,882,048,100","0.41%","14,996","790","623,073","77,238,003","0.81%"
"136","Holliston","2024","10,796,583","3,243,894,200","0.33%","14,840","728","373,650","85,467,201","0.44%"
"136","Holliston","2025","9,758,865","3,243,894,200","0.30%","14,856","657","358,650","84,267,319","0.43%"
"137","Holyoke","2021","73,107,920","2,142,470,000","3.41%","40,358","1,811","4,829,615","159,321,427","3.03%"
"137","Holyoke","2022","58,316,210","2,379,718,800","2.45%","40,117","1,454","4,536,032","166,433,075","2.73%"
"137","Holyoke","2023","63,388,527","2,379,718,800","2.66%","38,238","1,658","4,787,537","180,111,906","2.66%"
"137","Holyoke","2024","","2,572,663,000","","37,929","","4,696,583","196,181,153","2.39%"
"137","Holyoke","2025","","2,572,663,000","","37,720","","","200,781,895",""
"138","Hopedale","2021","11,555,567","776,426,200","1.49%","5,966","1,937","468,768","26,480,893","1.77%"
"138","Hopedale","2022","10,573,071","867,520,800","1.22%","5,951","1,777","427,352","27,254,249","1.57%"
"138","Hopedale","2023","9,743,597","867,520,800","1.12%","6,017","1,619","382,140","28,328,330","1.35%"
"138","Hopedale","2024","8,972,045","929,315,000","0.97%","5,998","1,496","320,237","31,594,405","1.01%"
"138","Hopedale","2025","12,925,036","929,315,000","1.39%","6,008","2,151","410,800","32,868,427","1.25%"
"139","Hopkinton","2021","78,202,605","3,865,959,600","2.02%","18,269","4,281","9,023,167","93,901,472","9.61%"
"139","Hopkinton","2022","71,895,125","4,454,778,900","1.61%","18,470","3,893","7,119,245","100,630,065","7.08%"
"139","Hopkinton","2023","73,259,257","4,454,778,900","1.64%","18,758","3,905","7,061,522","111,871,919","6.31%"
"139","Hopkinton","2024","67,472,764","5,173,582,300","1.30%","18,943","3,562","7,317,431","113,744,928","6.43%"
"139","Hopkinton","2025","70,820,548","5,173,582,300","1.37%","19,249","3,679","6,790,563","122,584,098","5.54%"
"140","Hubbardston","2021","570,000","467,728,400","0.12%","4,787","119","255,450","9,853,105","2.59%"
"140","Hubbardston","2022","340,000","527,028,100","0.06%","4,829","70","245,653","10,213,998","2.41%"
"140","Hubbardston","2023","110,000","527,028,100","0.02%","4,328","25","242,610","10,718,922","2.26%"
"140","Hubbardston","2024","60,000","587,783,900","0.01%","4,312","14","126,960","11,136,747","1.14%"
"140","Hubbardston","2025","30,000","587,783,900","0.01%","4,335","7","144,925","11,752,949","1.23%"
"141","Hudson","2021","51,720,168","2,755,165,600","1.88%","19,960","2,591","6,699,176","90,763,754","7.38%"
"141","Hudson","2022","54,000,482","3,166,995,200","1.71%","19,864","2,719","7,449,227","95,041,061","7.84%"
"141","Hudson","2023","48,639,572","3,166,995,200","1.54%","20,092","2,421","7,103,375","98,834,630","7.19%"
"141","Hudson","2024","","3,508,853,900","","19,790","","4,591,123","95,406,471","4.81%"
