"DOR Code","Municipality","Fiscal Year","Total Outstanding Debt (Schedule A Part 10)","Equalized Values (EQV)","Outstanding Debt as a % of EQV","Population","Outstanding Debt Per Capita","GF Debt Service (Schedule A Part 2)","Total Budget","Debt Service as a % of Budget"
"057","Chelsea","2023","29,403,148","4,225,152,600","0.70%","40,787","721","2,504,409","225,588,878","1.11%"
"057","Chelsea","2024","25,874,834","5,133,648,900","0.50%","38,889","665","2,353,972","247,182,948","0.95%"
"057","Chelsea","2025","26,504,133","5,133,648,900","0.52%","38,637","686","2,216,414","257,690,554","0.86%"
"058","Cheshire","2021","703,422","308,072,500","0.23%","3,144","224","227,676","6,739,397","3.38%"
"058","Cheshire","2022","586,389","327,182,900","0.18%","3,129","187","243,816","6,618,483","3.68%"
"058","Cheshire","2023","464,000","327,182,900","0.14%","3,258","142","266,843","7,063,939","3.78%"
"058","Cheshire","2024","351,000","380,218,700","0.09%","3,236","108","272,947","7,410,679","3.68%"
"058","Cheshire","2025","512,000","380,218,700","0.13%","3,215","159","177,616","7,285,937","2.44%"
"059","Chester","2021","316,328","125,043,400","0.25%","1,384","229","72,969","3,621,992","2.02%"
"059","Chester","2022","301,084","129,904,800","0.23%","1,369","220","29,479","3,573,973","0.83%"
"059","Chester","2023","285,153","129,904,800","0.22%","1,228","232","1,050","3,734,237","0.03%"
"059","Chester","2024","268,506","150,115,400","0.18%","1,221","220","7,697","4,402,676","0.18%"
"059","Chester","2025","251,110","150,115,400","0.17%","1,220","206","24,793","4,051,127","0.61%"
"060","Chesterfield","2021","30,457","157,870,800","0.02%","1,258","24","158,630","4,440,081","3.57%"
"060","Chesterfield","2022","20,457","165,075,500","0.01%","1,249","16","201,425","4,080,959","4.94%"
"060","Chesterfield","2023","10,457","165,075,500","0.01%","1,186","9","153,173","4,116,672","3.72%"
"060","Chesterfield","2024","5,457","190,606,900","0.00%","1,178","5","298,287","4,501,596","6.63%"
"060","Chesterfield","2025","457","190,606,900","0.00%","1,175","0","518,618","5,081,919","10.21%"
"061","Chicopee","2021","189,880,520","3,998,413,400","4.75%","55,582","3,416","7,175,873","222,207,313","3.23%"
"061","Chicopee","2022","178,402,610","4,282,298,400","4.17%","55,126","3,236","7,112,717","234,821,090","3.03%"
"061","Chicopee","2023","175,032,529","4,282,298,400","4.09%","55,560","3,150","7,029,049","254,838,515","2.76%"
"061","Chicopee","2024","180,188,096","4,667,842,700","3.86%","55,190","3,265","7,004,150","284,453,162","2.46%"
"061","Chicopee","2025","188,106,717","4,667,842,700","4.03%","54,980","3,421","7,035,103","309,896,323","2.27%"
"062","Chilmark","2021","935,000","3,358,805,700","0.03%","917","1,020","480,250","11,630,667","4.13%"
"062","Chilmark","2022","500,000","3,657,005,200","0.01%","922","542","461,083","12,943,104","3.56%"
"062","Chilmark","2023","9,025,000","3,657,005,200","0.25%","1,212","7,446","1,022,940","14,302,616","7.15%"
"062","Chilmark","2024","14,440,000","3,878,126,000","0.37%","1,248","11,571","1,135,950","15,007,241","7.57%"
"062","Chilmark","2025","","3,878,126,000","","1,235","","","15,426,243",""
"063","Clarksburg","2021","590,001","128,418,100","0.46%","1,650","358","349,959","5,454,390","6.42%"
"063","Clarksburg","2022","558,001","133,566,700","0.42%","1,638","341","264,301","5,598,002","4.72%"
"063","Clarksburg","2023","321,001","133,566,700","0.24%","1,657","194","252,747","5,495,401","4.60%"
"063","Clarksburg","2024","84,001","149,674,900","0.06%","1,649","51","245,798","5,602,611","4.39%"
"063","Clarksburg","2025","42,001","149,674,900","0.03%","1,643","26","43,848","6,048,903","0.73%"
"064","Clinton","2021","12,220,712","1,385,425,600","0.88%","14,022","872","1,165,657","51,485,285","2.26%"
"064","Clinton","2022","9,621,319","1,653,168,200","0.58%","14,000","687","1,248,447","54,595,105","2.29%"
"064","Clinton","2023","7,948,797","1,653,168,200","0.48%","15,428","515","1,202,818","59,043,454","2.04%"
"064","Clinton","2024","6,301,000","1,853,848,200","0.34%","15,381","410","1,225,948","61,580,435","1.99%"
"064","Clinton","2025","35,332,922","1,853,848,200","1.91%","15,484","2,282","1,273,792","65,252,360","1.95%"
"065","Cohasset","2021","31,837,197","3,075,090,800","1.04%","8,541","3,728","2,056,875","50,838,082","4.05%"
"065","Cohasset","2022","27,625,854","3,240,448,100","0.85%","8,548","3,232","1,864,257","55,539,802","3.36%"
"065","Cohasset","2023","23,430,000","3,240,448,100","0.72%","8,381","2,796","2,726,904","57,450,258","4.75%"
"065","Cohasset","2024","23,766,862","3,547,050,800","0.67%","8,373","2,839","1,672,052","61,031,265","2.74%"
"065","Cohasset","2025","20,047,591","3,547,050,800","0.57%","8,346","2,402","1,239,777","65,004,599","1.91%"
"066","Colrain","2021","221,998","179,350,200","0.12%","1,677","132","76,607","4,813,210","1.59%"
"066","Colrain","2022","221,998","182,644,300","0.12%","1,661","134","30,640","4,597,106","0.67%"
"066","Colrain","2023","1,620,000","182,644,300","0.89%","1,606","1,009","9,135","5,244,632","0.17%"
"066","Colrain","2024","1,515,000","203,121,700","0.75%","1,615","938","6,067","5,231,192","0.12%"
"066","Colrain","2025","1,410,000","203,121,700","0.69%","1,617","872","0","5,447,180","0.00%"
"067","Concord","2021","44,518,620","6,572,447,900","0.68%","19,211","2,317","7,496,987","118,129,644","6.35%"
"067","Concord","2022","54,514,284","7,134,203,400","0.76%","18,918","2,882","7,411,739","120,173,085","6.17%"
"067","Concord","2023","104,543,256","7,134,203,400","1.47%","18,491","5,654","8,038,445","128,180,769","6.27%"
"067","Concord","2024","93,967,813","7,337,635,800","1.28%","18,184","5,168","11,204,163","136,397,112","8.21%"
"067","Concord","2025","121,435,021","7,337,635,800","1.65%","17,954","6,764","10,850,136","140,308,066","7.73%"
"068","Conway","2021","952,000","270,902,400","0.35%","1,892","503","119,025","7,639,280","1.56%"
"068","Conway","2022","1,026,000","272,849,200","0.38%","1,873","548","117,072","7,391,403","1.58%"
"068","Conway","2023","900,000","272,849,200","0.33%","1,761","511","150,431","7,532,167","2.00%"
"068","Conway","2024","779,000","298,724,500","0.26%","1,768","441","142,473","8,217,008","1.73%"
"068","Conway","2025","658,000","298,724,500","0.22%","1,760","374","139,712","8,265,358","1.69%"
"069","Cummington","2021","2,313,130","130,242,300","1.78%","878","2,635","258,037","3,117,365","8.28%"
"069","Cummington","2022","2,153,889","136,764,000","1.57%","874","2,464","282,458","2,760,411","10.23%"
"069","Cummington","2023","2,066,865","136,764,000","1.51%","829","2,493","283,245","2,832,916","10.00%"
"069","Cummington","2024","1,900,921","153,578,200","1.24%","819","2,321","281,825","2,891,113","9.75%"
"069","Cummington","2025","1,726,906","153,578,200","1.12%","818","2,111","283,938","3,192,115","8.90%"
"070","Dalton","2021","1,264,089","616,299,000","0.21%","6,569","192","761,346","19,323,607","3.94%"
"070","Dalton","2022","673,974","659,304,000","0.10%","6,525","103","756,314","19,531,491","3.87%"
"070","Dalton","2023","1,319,099","659,304,000","0.20%","6,330","208","221,493","20,629,225","1.07%"
"070","Dalton","2024","1,266,897","732,087,000","0.17%","6,290","201","408,047","21,191,403","1.93%"
"070","Dalton","2025","","732,087,000","","6,236","","","22,961,674",""
