year,slug,count_yes,pct_yes
2022,stock_transfer_to_family,282,0.0657
2022,own_officer_director,696,0.1622
2022,spouse_officer_director,375,0.0874
2022,own_real_estate,2920,0.6803
2022,spouse_real_estate,290,0.0676
2022,own_trust_real_estate,358,0.0834
2022,spouse_trust_real_estate,105,0.0245
2022,own_real_estate_transferred,89,0.0207
2022,spouse_real_estate_transferred,48,0.0112
2022,own_lien_mortgage_receivable,316,0.0736
2022,spouse_lien_mortgage_receivable,114,0.0266
2022,own_ma_bonds,117,0.0273
2022,spouse_ma_bonds,51,0.0119
2022,own_trust_ma_bonds,42,0.0098
2022,spouse_trust_ma_bonds,415,0.0967
2022,own_financial_investments,1288,0.3001
2022,spouse_financial_investments,492,0.1146
2022,own_trust_financial_investments,149,0.0347
2022,spouse_trust_financial_investments,80,0.0186
2022,primary_residence_mortgage,3100,0.7223
2022,other_property_mortgage,1191,0.2775
2022,spouse_other_mortgage,125,0.0291
2022,own_nonmortgage_debt,401,0.0934
2022,spouse_nonmortgage_debt,158,0.0368
2022,own_debt_forgiven,78,0.0182
2022,spouse_debt_forgiven,68,0.0158
2022,own_lobbyist_reimbursements,56,0.0130
2022,own_interested_party_reimbursements,13,0.0030
2022,spouse_lobbyist_reimbursements,40,0.0093
2022,spouse_interested_party_reimbursements,6,0.0014
2022,own_gifts_honoraria,46,0.0107
2022,spouse_gifts_honoraria,24,0.0056
2022,blind_trust,111,0.0259
2023,candidate,418,0.0946
2023,public_positions,4127,0.9339
2023,other_public_positions,652,0.1475
2023,spouse_public_positions,817,0.1849
2023,own_business_employment,880,0.1991
2023,own_leave_of_absence,54,0.0122
2023,spouse_business_employment,2108,0.4770
2023,own_business_ownership,482,0.1091
2023,spouse_business_ownership,509,0.1152
2023,stock_transfer_to_family,295,0.0668
2023,own_officer_director,759,0.1718
2023,spouse_officer_director,378,0.0855
2023,own_real_estate,2975,0.6732
2023,spouse_real_estate,278,0.0629
2023,own_trust_real_estate,394,0.0892
2023,spouse_trust_real_estate,117,0.0265
2023,own_real_estate_transferred,83,0.0188
2023,spouse_real_estate_transferred,58,0.0131
2023,own_lien_mortgage_receivable,341,0.0772
2023,spouse_lien_mortgage_receivable,117,0.0265
2023,own_ma_bonds,110,0.0249
2023,spouse_ma_bonds,57,0.0129
2023,own_trust_ma_bonds,45,0.0102
2023,spouse_trust_ma_bonds,402,0.0910
2023,own_financial_investments,1304,0.2951
2023,spouse_financial_investments,473,0.1070
2023,own_trust_financial_investments,143,0.0324
2023,spouse_trust_financial_investments,84,0.0190
2023,primary_residence_mortgage,3169,0.7171
2023,other_property_mortgage,1257,0.2845
2023,spouse_other_mortgage,131,0.0296
2023,own_nonmortgage_debt,412,0.0932
2023,spouse_nonmortgage_debt,172,0.0389
2023,own_debt_forgiven,100,0.0226
2023,spouse_debt_forgiven,69,0.0156
2023,own_lobbyist_reimbursements,62,0.0140
2023,own_interested_party_reimbursements,10,0.0023
2023,spouse_lobbyist_reimbursements,38,0.0086
2023,spouse_interested_party_reimbursements,6,0.0014
2023,own_gifts_honoraria,46,0.0104
2023,spouse_gifts_honoraria,28,0.0063
2023,blind_trust,118,0.0267
2024,candidate,258,0.0598
2024,public_positions,4197,0.9722
2024,other_public_positions,614,0.1422
2024,spouse_public_positions,827,0.1916
2024,own_business_employment,790,0.1830
2024,own_leave_of_absence,49,0.0114
2024,spouse_business_employment,2115,0.4899
2024,own_business_ownership,453,0.1049
2024,spouse_business_ownership,494,0.1144
2024,stock_transfer_to_family,276,0.0639
2024,own_officer_director,733,0.1698
2024,spouse_officer_director,367,0.0850
2024,own_real_estate,2940,0.6810
2024,spouse_real_estate,282,0.0653
2024,own_trust_real_estate,395,0.0915
2024,spouse_trust_real_estate,103,0.0239
2024,own_real_estate_transferred,83,0.0192
2024,spouse_real_estate_transferred,52,0.0120
2024,own_lien_mortgage_receivable,353,0.0818
2024,spouse_lien_mortgage_receivable,127,0.0294
2024,own_ma_bonds,110,0.0255
2024,spouse_ma_bonds,57,0.0132
2024,own_trust_ma_bonds,39,0.0090
2024,spouse_trust_ma_bonds,417,0.0966
2024,own_financial_investments,1314,0.3044
2024,spouse_financial_investments,467,0.1082
2024,own_trust_financial_investments,145,0.0336
2024,spouse_trust_financial_investments,91,0.0211
2024,primary_residence_mortgage,3100,0.7181
2024,other_property_mortgage,1288,0.2984
2024,spouse_other_mortgage,134,0.0310
2024,own_nonmortgage_debt,395,0.0915
2024,spouse_nonmortgage_debt,160,0.0371
2024,own_debt_forgiven,83,0.0192
2024,spouse_debt_forgiven,63,0.0146
2024,own_lobbyist_reimbursements,63,0.0146
2024,own_interested_party_reimbursements,13,0.0030
2024,spouse_lobbyist_reimbursements,38,0.0088
2024,spouse_interested_party_reimbursements,6,0.0014
2024,own_gifts_honoraria,55,0.0127
2024,spouse_gifts_honoraria,25,0.0058
2024,blind_trust,121,0.0280
2025,candidate,401,0.0982
2025,public_positions,3847,0.9417
2025,other_public_positions,562,0.1376
2025,spouse_public_positions,783,0.1917
2025,own_business_employment,750,0.1836
2025,own_leave_of_absence,40,0.0098
2025,spouse_business_employment,1986,0.4862
2025,own_business_ownership,438,0.1072
2025,spouse_business_ownership,458,0.1121
2025,stock_transfer_to_family,274,0.0671
2025,own_officer_director,697,0.1706
2025,spouse_officer_director,358,0.0876
2025,own_real_estate,2782,0.6810
2025,spouse_real_estate,275,0.0673
2025,own_trust_real_estate,390,0.0955
2025,spouse_trust_real_estate,114,0.0279
2025,own_real_estate_transferred,93,0.0228
2025,spouse_real_estate_transferred,50,0.0122
2025,own_lien_mortgage_receivable,335,0.0820
2025,spouse_lien_mortgage_receivable,120,0.0294
2025,own_ma_bonds,101,0.0247
2025,spouse_ma_bonds,52,0.0127
2025,own_trust_ma_bonds,33,0.0081
2025,spouse_trust_ma_bonds,401,0.0982
2025,own_financial_investments,1265,0.3097
2025,spouse_financial_investments,482,0.1180
2025,own_trust_financial_investments,135,0.0330
2025,spouse_trust_financial_investments,85,0.0208
2025,primary_residence_mortgage,2910,0.7124
2025,other_property_mortgage,1242,0.3040
2025,spouse_other_mortgage,128,0.0313
2025,own_nonmortgage_debt,364,0.0891
2025,spouse_nonmortgage_debt,144,0.0353
2025,own_debt_forgiven,51,0.0125
2025,spouse_debt_forgiven,69,0.0169
2025,own_lobbyist_reimbursements,62,0.0152
2025,own_interested_party_reimbursements,14,0.0034
2025,spouse_lobbyist_reimbursements,35,0.0086
2025,spouse_interested_party_reimbursements,5,0.0012
2025,own_gifts_honoraria,57,0.0140
2025,spouse_gifts_honoraria,22,0.0054
2025,blind_trust,159,0.0389
